Country Name,Literacy Rate,Government Expenditure on Education,Trained Teachers in Primary,Pupil-teacher Ratio Primary,Fertility Rate, GDP per capita,Gini Index,Research and Development Expenditure, School enrollment Primary
St. Kitts and Nevis,..,4.25,..,..,..,26980.32456,..,..,..
St. Lucia,..,3.633480072,..,15.2315,1.448,14928.39607,..,..,94.86626
St. Martin (French part),..,..,..,..,1.81,..,..,..,..
St. Vincent and the Grenadines,..,5.73195982,66.51934052,14.39337,1.911,13102.13049,..,..,93.58439
Sudan,..,..,..,..,4.469,4598.850098,..,..,60.00534
Suriname,..,5.458669662,98.38011169,12.92371,2.443,18283.68839,..,..,86.07316
Sweden,..,7.568830013,..,12.23325,1.78,51947.95425,28.8,3.362790108,99.18177
Switzerland,..,4.951570034,..,9.92873,1.52,69103.57026,32.7,3.034130096,93.19583
Syrian Arab Republic,..,..,..,..,2.847,..,..,..,..
Tajikistan,..,5.83796978,100,22.30051,3.606,3252.932655,..,0.109569997,98.28703
Tanzania,..,4.430510044,..,47.15284,4.953,2530.603271,..,..,83.58042
Thailand,..,3.355730057,100,16.88809,1.532,17422.95235,36.5,1.001659989,..
Timor-Leste,..,7.034530163,..,27.65483,4.093,3177.485137,..,..,93.70257
Togo,..,3.760529995,..,40.12613,4.384,2012.240693,..,..,90.91577
Tonga,..,..,..,..,3.595,6466.340669,..,..,..
Trinidad and Tobago,..,3.575496912,..,..,1.739,27277.87832,..,0.09149,..
Tunisia,..,..,100,16.57185,2.219,11234.49842,..,0.699540019,..
Turkiye,96.15052795,..,..,16.97782,2.081,27913.81872,41.4,0.952719986,87.90006
Turkmenistan,..,..,..,..,2.836,14205.02651,..,..,..
Turks and Caicos Islands,..,2.740551949,..,..,..,27060.58966,..,..,..
Tuvalu,..,..,..,..,..,4010.050723,..,..,..
Uganda,..,2.253639936,79.58579254,42.65911,5.095,2074.652436,..,..,..
Ukraine,..,5.417079926,86.7609787,12.99453,1.374,11860.56055,26,0.448790014,..
United Arab Emirates,..,..,..,..,1.448,67183.60531,..,..,95.02753
United Kingdom,..,5.384990215,..,15.13275,1.74,46372.3866,35.1,1.659809947,99.49182
United States,..,5.109220028,..,14.19857,1.7655,59914.7778,41.2,2.895720005,94.62633
Uruguay,98.61572266,4.470970154,100,11.0193,1.983,23009.87423,39.5,0.448489994,99.3775
Uzbekistan,..,5.032820225,98.9449234,21.15014,2.419,6840.70986,..,0.148340002,96.26941
Vanuatu,..,4.533530235,..,..,3.82,3081.461777,..,..,..
"Venezuela, RB",..,1.344079971,..,..,2.294,..,..,..,87.39174
Vietnam,..,4.085539818,99.72022247,19.64643,2.042,8996.378103,..,0.526740015,..
Virgin Islands (U.S.),..,..,..,..,2.08,..,..,..,..
West Bank and Gaza,96.92440033,4.721539974,100,24.72816,3.738,6401.740891,..,..,95.26274
"Yemen, Rep.",..,..,..,..,3.89,..,..,..,..
Zambia,..,3.729640007,98.75029755,42.05996,4.718,3485.02178,..,..,83.16745
Zimbabwe,..,5.818779945,97.41584778,..,3.707,2416.049969,44.3,..,..
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,
Last Updated: 09/16/2022,,,,,,,,,
